tsample,q1,q2,qd1,qd2,qdd1,qdd2
4.15,-0.024,0.258403553571429,0,0.0100378571428571,0,-0.0315571428571429
4.2,-0.024,0.258866,0,0.00846000000000001,0,-0.0315571428571429
4.25,-0.024,0.259249553571429,0,0.00688214285714287,0,-0.0315571428571429
4.3,-0.024,0.259554214285714,0,0.00530428571428573,0,-0.0315571428571429
4.35,-0.024,0.259779982142857,0,0.0037264285714286,0,-0.0315571428571429
4.4,-0.024,0.259926857142857,0,0.00214857142857143,0,-0.0315571428571429
4.45,-0.024,0.259994839285714,0,0.000570714285714292,0,-0.0315571428571429
4.5,-0.023953125,0.26,0.00293749999999996,0,0.0920416666666667,0
4.55,-0.0236911979166667,0.26,0.00753958333333328,0,0.0920416666666667,0
4.6,-0.0231991666666667,0.26,0.0121416666666666,0,0.0920416666666667,0
4.65,-0.02247703125,0.26,0.01674375,0,0.0920416666666667,0
4.7,-0.0215247916666667,0.26,0.0213458333333333,0,0.0920416666666667,0
4.75,-0.0203424479166667,0.26,0.0259479166666666,0,0.0920416666666667,0
4.8,-0.01893,0.26,0.0305499999999999,0,0.0920416666666667,0
4.85,-0.0172874479166667,0.26,0.0351520833333333,0,0.0920416666666667,0
4.9,-0.0154147916666667,0.26,0.0397541666666667,0,0.0920416666666667,0
4.95,-0.01331203125,0.26,0.04435625,0,0.0920416666666667,0
5,-0.011,0.26,0.047,0,0,0
5.05,-0.00865000000000002,0.26,0.047,0,0,0
5.1,-0.00630000000000003,0.26,0.047,0,0,0
5.15,-0.00394999999999999,0.26,0.047,0,0,0
5.2,-0.0016,0.26,0.047,0,0,0
5.25,0.00074999999999999,0.26,0.047,0,0,0
5.3,0.00309999999999998,0.26,0.047,0,0,0
5.35,0.00544999999999998,0.26,0.047,0,0,0
5.4,0.00780000000000001,0.26,0.047,0,0,0
5.45,0.01015,0.26,0.047,0,0,0
5.5,0.0124947916666667,0.26,0.0460208333333334,0,-0.0920416666666667,0
5.55,0.01468078125,0.26,0.04141875,0,-0.0920416666666667,0
5.6,0.0166366666666666,0.26,0.0368166666666667,0,-0.0920416666666667,0
5.65,0.0183624479166667,0.26,0.0322145833333333,0,-0.0920416666666667,0
5.7,0.019858125,0.26,0.0276125,0,-0.0920416666666667,0
5.75,0.0211236979166667,0.26,0.0230104166666667,0,-0.0920416666666667,0
5.8,0.0221591666666667,0.26,0.0184083333333334,0,-0.0920416666666667,0
5.85,0.02296453125,0.26,0.01380625,0,-0.0920416666666667,0
5.9,0.0235397916666667,0.26,0.00920416666666665,0,-0.0920416666666667,0
